result_or_section,source_data,program,status,plain_explanation
external thermal and hydraulic comparisons,results/apd006_premux_chapter6_five_levels/sensor_residuals.csv;results/apd006_tesomex_1d_transient_baseline/profile_comparison.csv;data/apd006_hcpb_pin_experiment_2023/classical_baseline.csv;results/independent_pressure_drop_comparison/comparison.csv;results/hccb_heat_ai_external_evidence/summary.json;results/hccb_heat_ai_external_evidence/comparison_scope.csv;results/hccb_heat_ai_external_evidence/premux_branch_metrics.csv;figures/hccb_heat_ai_external_evidence.pdf,code/build_hccb_heat_ai_external_evidence.py,ready,PREMUX五功率65个床内温度使用四个预计算分支中总RMSE最低的一支并同时报告四分支范围 TESOMEX两个时刻14个径向温度 HELOKA四个Nu点和1毫米固定床六个压降点分别在原装置物理量上比较 这些数据不进入P418神经网络训练
physical input table,parameters/hccb_p418_physical_parameter_sources.csv;parameters/hccb_p418_equation_input_map.csv;results/hccb_p418_60_actual_case_input_check/summary.json;results/hccb_p418_source_summary.json;parameters/HCCB_P418_PARAMETER_AND_MODEL_SOURCES_CN.md,code/verify_hccb_p418_actual_case_inputs.py;code/build_hccb_p418_source_summary.py,ready,22个正式物理参数全部进入31项方程、边界条件或几何程序 60组OpenFOAM字典以及颗粒装填和网格几何输入均已逐项与文献参数表对照
inlet dimensionless envelope,parameters/literature_parameter_manifest.csv;results/hccb_p418_60_actual_case_input_check/summary.json;results/hccb_p418_inlet_dimensionless_envelope/summary.json,code/build_hccb_p418_inlet_dimensionless_envelope.py,ready,用文献中的颗粒直径氦气物性压力和实际60组入口工况计算Re Pr Pe并区分入口Re与文献床层平均Re
same-source heat-transfer comparison,results/hccb_p418_boundary_heat_flux_complete_60/summary.json;results/hccb_p418_dimensionless_heat_transfer_complete_60_with_flux/summary.json;results/hccb_p418_dimensionless_heat_transfer_complete_60_with_flux/dimensionless_heat_transfer.csv;results/hccb_p418_pressure_correlation_complete_60/summary.json;manuscript/generated_same_source_correlation.tex,code/export_hccb_p418_boundary_heat_flux_targets.py;code/analyze_hccb_p418_dimensionless_heat_transfer.py;code/analyze_hccb_p418_pressure_correlation.py;code/build_hccb_p418_same_source_correlation_text.py,ready,60个稳态工况的流固界面热流由OpenFOAM wallHeatFlux逐面直接积分并通过流固两侧和固体能量关系检查 P417整床平均相关式只作适用范围比较 真实界面热流用于有限体积换热结果和神经网络物理约束
source-sized domain comparison,results/hccb_p418_scope_limits_20260730/MESH_PREFLIGHT_FAILED.json;results/hccb_p418_scope_limits_20260730/mesh_audit_summary.json;results/hccb_p418_scope_limits_20260730/scope_limits_summary.json;results/hccb_p418_public_figure_data/direct_transport_scope_limit.json;manuscript/generated_scope_limits.tex,code/run_hccb_p418_full_domain_reference.sh;code/build_hccb_p418_scope_limit_text.py,mesh_preflight_failed_no_solver_result,原论文尺寸G2网格的流体区域基础checkMesh未通过 因此没有启动稳态求解；直接氦物性代表启动算例因固体热容资料上限停止 只用于说明固定流场研究范围
60-condition physical response,results/hccb_p418_sourceflow_complete_physics_60/summary.json;results/hccb_p418_sourceflow_complete_physics_60/completed_case_physics.csv;results/hccb_p418_sourceflow_complete_physics_60/wall_heat_zero_crossings.csv;results/hccb_p418_sourceflow_complete_physics_60/factorial_variance_decomposition.csv;figures/hccb_p418_physical_response.pdf;manuscript/generated_steady_factorial_effects.tex,code/summarize_hccb_p418_completed_matrix_physics.py;code/build_hccb_p418_steady_physics_text.py;code/build_hccb_p418_factorial_table.py;code/plot_hccb_p418_physical_response.py,ready,60个OpenFOAM工况已经生成速度入口温度和颗粒发热率的完整三因素结果 正文报告成对物理响应 壁面热流反转 完整主效应和质量能量关系 图中不使用响应面或拟合回归
steady final-window change,results/hccb_p418_60_sourceflow_r3_steady_final_windows/summary.json;manuscript/generated_steady_final_windows.tex,code/summarize_hccb_p418_formal_steady_tails.py;code/run_hccb_p418_60_postprocess.sh,complete_scalar_60_full_fields_16,60个工况均比较第175至200次稳态迭代的出口温度 颗粒最高温度 压降 壁面热量 出口焓流和质量收支 其中16个保留完整末段三维场并额外比较温度速度压力场 迭代编号不是物理秒
spatial mesh sensitivity,results/hccb_p418_three_mesh_cht_sensitivity/summary.json;results/hccb_p418_three_mesh_cht_sensitivity/engineering_observables.csv;results/hccb_p418_three_mesh_cht_sensitivity/mesh_gci.csv;manuscript/generated_mesh_sensitivity.tex,code/summarize_hccb_p418_mesh_sensitivity.py;code/build_hccb_p418_mesh_sensitivity_table.py;cloud_migration/run_p418_gci_solver_array_n96p.sbatch;cloud_migration/compare_p418_gci_solver_n96p.sbatch,completed_three_mesh_sensitivity,同一代表性工况的粗中细三套流固网格均通过基础checkMesh 采用实际非等比网格尺度计算GCI 出口温降较稳定 但压降与壁面分热仍有明显网格敏感性 近零跨符号的颗粒最高温升不报告百分比GCI
steady common inputs,results/hccb_p418_60_corrected_20260731_model_comparison_100epoch/common_input_check.json,code/validate_hccb_p418_steady_comparison_inputs.py,ready,训练前确认五种方法读取相同工况顺序、区域节点、体积、质量流面、能量流面和数据划分
steady model comparison,results/hccb_p418_60_corrected_20260731_model_comparison_100epoch/model_comparison.csv,code/run_hccb_p418_corrected_steady_comparison.sh,complete_5_models_5_splits,在完全相同的训练检查和测试工况上比较五种方法并采用修正后的热源外推归一化
steady performance table,results/hccb_p418_60_corrected_20260731_model_comparison_100epoch/model_comparison.csv,code/build_hccb_p418_steady_performance_table.py,complete_5_models_5_splits,五种模型在五种工况划分上的最差误差与实际训练推理时间
steady result text,results/hccb_p418_60_corrected_20260731_model_comparison_100epoch/model_comparison.csv;manuscript/generated_steady_result_text.tex,code/build_hccb_p418_steady_result_text.py,complete_5_models_5_splits,对五类完整工况测试分别提取流体温度 颗粒温度 压降 最高温度 壁面热量和能量关系的最差误差 并成对比数据PINN与物理PINN
steady initialization repeat,results/hccb_p418_60_steady_seed_robustness_100epoch/summary.json,code/run_hccb_p418_steady_seed_robustness.sh,pending_repeat_training,稳态60工况已完整 主工况划分上的四种神经网络仍需汇总三个独立初值的均值和样本标准差
steady training-condition learning curve,results/hccb_p418_learning_curve_model_comparison_100epoch/learning_curve_summary.json;results/hccb_p418_learning_curve_model_comparison_100epoch/learning_curve_efficiency.csv;results/hccb_p418_learning_curve_model_comparison_100epoch/learning_curve_efficiency.pdf,code/run_hccb_p418_steady_learning_curve.sh,p418_steady_learning_curve_complete,固定12个验证和12个独立测试工况 比较9 18 27和36个训练工况下五种方法的误差与计算成本
thermal-step histories,results/hccb_p418_physical_steps_12/regional_sequences/dataset_index.json;results/hccb_p418_physical_steps_12/transition_temperature_coverage/summary.json,code/run_hccb_p418_step_responses.sh;code/export_hccb_p418_step_regional_sequences.py,complete_fixed_flow_12,12条固定流场热阶跃均覆盖0至300秒 每条含16401个工程量时间点和56个完整三维场时刻 区域序列使用同一46089节点拓扑
fixed-flow and fully coupled thermal-step comparison,results/hccb_p418_physical_steps_12/regional_sequences/dataset_index.json;results/hccb_p418_scope_limits_20260730/scope_limits_summary.json;results/hccb_p418_scope_limits_20260730/representative_velocity_up_14724_failure.json,code/run_hccb_p418_step_responses.sh;code/run_hccb_p418_fully_coupled_step_responses.sh;code/build_hccb_p418_final_narrative.py,fixed_flow_12_complete_fully_coupled_unavailable_property_range,固定流场12条热阶跃已完成并覆盖0至300秒 全耦合启动试验中局部压力超出已登记氦物性表范围 因此未形成可用的固定流场与全耦合精度对照 论文只报告固定流场结果并明确这一适用范围
Li4SiO4 transition-temperature coverage,results/hccb_p418_physical_steps_12/transition_temperature_coverage/summary.json;results/hccb_p418_physical_steps_12/transition_temperature_coverage/transition_temperature_coverage.csv;manuscript/generated_transition_temperature_coverage.tex,code/summarize_hccb_p418_transition_temperature_coverage.py,complete_12_fixed_flow_sequences,12条固定流场固体温度曲线均用P431文献给出的938 K和996 K直接检查 本组曲线最高温度低于两个转变温区 不人为增加相变温区宽度 也不声称平滑热容关系再现尖锐异常
strict trajectory split,parameters/hccb_p418_step_response_splits.json,code/train_hccb_p418_transient_observable_transformer.py,ready,训练检查和测试按整条曲线以及端点对分开
graph-Transformer comparison,results/hccb_p418_physical_steps_12/model_comparison/physical_step_model_metrics.csv,code/run_hccb_p418_step_responses.sh,pending_formal_models,12条固定流场曲线已完整 待正式训练清单完成后比较DMDc、数据模型、物理约束图Transformer和时空分解模型
diffusion refinement,results/hccb_p418_physical_steps_12/model_comparison/physical_step_model_metrics.csv,code/train_hccb_p418_temporal_temperature_diffusion.py,pending_diffusion_model,12条温度场和能量记录已完整 待扩散温度修正完成后在独立曲线上逐个比较颗粒温度误差和有限体积能量方程差异
transient heat-transfer performance table,results/hccb_p418_physical_steps_12/model_comparison/physical_step_model_metrics.csv;results/hccb_p418_physical_steps_12/model_comparison/transient_performance_table.json;manuscript/generated_transient_performance.tex,code/build_hccb_p418_transient_performance_table.py,pending_formal_models,正式模型完成后在严格端点分离测试上统一比较固体温度场 最高温度时程 区域热点位置 最热区域命中率和能量方程差异
