model,setting,value,setting_type,primary_source,source_path,implementation_path,is_physical_parameter,explanation_cn
工程量时间Transformer,hidden_width,256,published_architecture,Transolver official irregular-mesh model,third_party/Transolver/PDE-Solving-StandardBenchmark/model/Transolver_Irregular_Mesh.py,code/train_hccb_p418_transient_observable_transformer.py,no,采用公开模型类的默认隐藏宽度
工程量时间Transformer,layers,5,published_architecture,Transolver official irregular-mesh model,third_party/Transolver/PDE-Solving-StandardBenchmark/model/Transolver_Irregular_Mesh.py,code/train_hccb_p418_transient_observable_transformer.py,no,采用公开模型类的默认层数
工程量时间Transformer,attention_heads,8,published_architecture,Transolver official irregular-mesh model,third_party/Transolver/PDE-Solving-StandardBenchmark/model/Transolver_Irregular_Mesh.py,code/train_hccb_p418_transient_observable_transformer.py,no,采用公开模型类的默认注意力头数
工程量时间Transformer,feedforward_ratio,1,published_architecture,Transolver official irregular-mesh model,third_party/Transolver/PDE-Solving-StandardBenchmark/model/Transolver_Irregular_Mesh.py,code/train_hccb_p418_transient_observable_transformer.py,no,前馈层宽度等于隐藏宽度
工程量时间Transformer,dropout,0.0,published_architecture,Transolver official irregular-mesh model,third_party/Transolver/PDE-Solving-StandardBenchmark/model/Transolver_Irregular_Mesh.py,code/train_hccb_p418_transient_observable_transformer.py,no,采用公开模型类默认值
工程量时间Transformer,epochs,500,official_code_training,Transolver official elasticity training script,third_party/Transolver/PDE-Solving-StandardBenchmark/exp_elas.py,code/train_hccb_p418_transient_observable_transformer.py,no,正式训练轮数
工程量时间Transformer,effective_batch_size,8,official_code_training,Transolver official elasticity training script,third_party/Transolver/PDE-Solving-StandardBenchmark/exp_elas.py,code/train_hccb_p418_transient_observable_transformer.py,no,完整曲线批量数
工程量时间Transformer,learning_rate,0.001,official_code_training,Transolver official elasticity training script,third_party/Transolver/PDE-Solving-StandardBenchmark/exp_elas.py,code/train_hccb_p418_transient_observable_transformer.py,no,AdamW峰值学习率
工程量时间Transformer,weight_decay,0.00001,official_code_training,Transolver official elasticity training script,third_party/Transolver/PDE-Solving-StandardBenchmark/exp_elas.py,code/train_hccb_p418_transient_observable_transformer.py,no,AdamW权重衰减
工程量时间Transformer,selected_epoch,validation minimum,data_derived,由检查曲线全时程归一化均方误差选择,code/train_hccb_p418_transient_observable_transformer.py,code/train_hccb_p418_transient_observable_transformer.py,no,测试曲线不参与轮次选择
图-Transformer,hidden_width,64,published_architecture,Iparraguirre et al. 2026 MGN-T hidden path,literature/raw/algorithm_sources/Iparraguirre_2026_MeshGraphNet_Transformer.pdf,code/hccb_p418_spatiotemporal_regional_operator.py,no,采用论文给出的64-32-64路径外层宽度
图-Transformer,preprocessor_mpnn_iterations,2,published_architecture,Iparraguirre et al. 2026 Section 2.2 and Table 2,literature/raw/algorithm_sources/Iparraguirre_2026_MeshGraphNet_Transformer.pdf,code/hccb_p418_spatiotemporal_regional_operator.py,no,局部消息传递次数
图-Transformer,physics_attention_blocks,2,published_architecture,Iparraguirre et al. 2026 Section 2.2 and Table 2,literature/raw/algorithm_sources/Iparraguirre_2026_MeshGraphNet_Transformer.pdf,code/hccb_p418_spatiotemporal_regional_operator.py,no,全局物理注意力块数
图-Transformer,refinement_mpnn_iterations,2,published_architecture,Iparraguirre et al. 2026 Section 2.2 and Table 2,literature/raw/algorithm_sources/Iparraguirre_2026_MeshGraphNet_Transformer.pdf,code/hccb_p418_spatiotemporal_regional_operator.py,no,局部细化次数
图-Transformer,physics_attention_heads,4,published_architecture,Iparraguirre et al. 2026 Section 2.2 and Table 2,literature/raw/algorithm_sources/Iparraguirre_2026_MeshGraphNet_Transformer.pdf,code/hccb_p418_spatiotemporal_regional_operator.py,no,物理注意力头数
图-Transformer,physics_slices,128,published_architecture,Iparraguirre et al. 2026 physical tokens,literature/raw/algorithm_sources/Iparraguirre_2026_MeshGraphNet_Transformer.pdf,code/hccb_p418_spatiotemporal_regional_operator.py,no,物理切片数量
图-Transformer,temporal_layers,3,official_code_architecture,GNOT official n-layers default,third_party/GNOT/args.py,code/hccb_p418_spatiotemporal_regional_operator.py,no,显式时间混合层数
图-Transformer,temporal_heads,1,official_code_architecture,GNOT official n-head default,third_party/GNOT/args.py,code/hccb_p418_spatiotemporal_regional_operator.py,no,显式时间注意力头数
图-Transformer,leaky_relu_negative_slope,0.01,published_architecture,Maas et al. 2013 LReL definition,literature/raw/algorithm_sources/Maas_2013_Rectifier_Nonlinearities.pdf,code/hccb_p418_spatiotemporal_regional_operator.py,no,MGN-T未给斜率时采用原始LReL定义值
