parameter_id,source_group,local_evidence_paths,evidence_location,evidence_kind,source_url_or_doi,sha256_list,status,notes_cn
P048,CET 2024开放配套论文,literature/raw/thermophysical_sources/Wang_2024_CET_PINN_macroscopic_transport.pdf;logs/pdf_text/Wang_2024_CET_PINN_macroscopic_transport.txt,论文第2页及提取文本第88--89行：Li4SiO4颗粒直径dp=1 mm,open_companion_article_and_text,https://doi.org/10.3303/CET24114068;https://doi.org/10.1016/j.applthermaleng.2024.123114,c0bf787bad8622db608404407b4d4449b1c667d3316856571f5a7ee999d1b10a;03bde885b95b66679c277940a1dd824e3081848b17f45860416a70dc68d42fd9,local_source_archived,官方开放配套论文明确复用同一HCCB球床物理模型并给出1 mm颗粒直径
P049,CET 2024开放配套论文,literature/raw/thermophysical_sources/Wang_2024_CET_PINN_macroscopic_transport.pdf;logs/pdf_text/Wang_2024_CET_PINN_macroscopic_transport.txt,论文第2页及提取文本第92--96行：孔隙率39.7%,open_companion_article_and_text,https://doi.org/10.3303/CET24114068;https://doi.org/10.1016/j.applthermaleng.2024.123114,c0bf787bad8622db608404407b4d4449b1c667d3316856571f5a7ee999d1b10a;03bde885b95b66679c277940a1dd824e3081848b17f45860416a70dc68d42fd9,local_source_archived,目标孔隙率用于装填来源说明；实际网格孔隙率由几何计算
P050,HCCB 2024孔隙尺度换热论文,logs/pdf_text/hccb_tbm_macroscopic_transport_2024.clean.txt,第4页对应文本第420--449行：初始25dp×25dp×10dp球床,local_article_text,https://doi.org/10.1016/j.applthermaleng.2024.123114,7bdb8aeb14afc1e38553b6c271fdeb248d4a13a29eb669982a39e1b5182c7ef0,local_source_archived,先生成母球床再截取计算区
P390,CET 2024开放配套论文,literature/raw/thermophysical_sources/Wang_2024_CET_PINN_macroscopic_transport.pdf;logs/pdf_text/Wang_2024_CET_PINN_macroscopic_transport.txt,论文第2页及提取文本第92--96行：12.5dp×12.5dp×10dp球床及10dp入口和出口延伸段,open_companion_article_and_text,https://doi.org/10.3303/CET24114068;https://doi.org/10.1016/j.applthermaleng.2024.123114,c0bf787bad8622db608404407b4d4449b1c667d3316856571f5a7ee999d1b10a;03bde885b95b66679c277940a1dd824e3081848b17f45860416a70dc68d42fd9,local_source_archived,当前精细局部域位于该文献区域内
P404,HCCB 2024孔隙尺度换热论文,logs/pdf_text/hccb_tbm_macroscopic_transport_2024.clean.txt,第5页对应文本第636--654行：网格前将每个颗粒直径缩小1%,local_article_text,https://doi.org/10.1016/j.applthermaleng.2024.123114,7bdb8aeb14afc1e38553b6c271fdeb248d4a13a29eb669982a39e1b5182c7ef0,local_source_archived,这是消除点接触的网格处理，不改变登记的物理颗粒直径
P423,CET 2024开放配套论文,literature/raw/thermophysical_sources/Wang_2024_CET_PINN_macroscopic_transport.pdf;logs/pdf_text/Wang_2024_CET_PINN_macroscopic_transport.txt,论文第3页图2及提取文本第103--114行：一侧恒温冷却壁、其余横向面为对称边界,open_companion_article_figure_and_text,https://doi.org/10.3303/CET24114068;https://doi.org/10.1016/j.applthermaleng.2024.123114,c0bf787bad8622db608404407b4d4449b1c667d3316856571f5a7ee999d1b10a;03bde885b95b66679c277940a1dd824e3081848b17f45860416a70dc68d42fd9,local_source_archived,官方开放配套论文图2直接标出恒温壁和对称边界；当前局部域沿用该边界类型
P418,IJHMT 2023低雷诺数内热源球床论文,literature/extracted/ijhmt2023_low_re_internal_heat/full_text.txt,第5--6页对应文本第368--377和433--441行：5×4×3共60组速度、温度和发热率,local_article_text,https://doi.org/10.1016/j.ijheatmasstransfer.2023.124325,740a4414f9fa00191d213f1dfcf861e9245e610d26adbd5c9a49c36dde7b3713,local_source_archived,入口速度定义见第130--155行
P425,IJHMT 2023低雷诺数内热源球床论文,literature/extracted/ijhmt2023_low_re_internal_heat/full_text.txt,第6页对应文本第433--437行：冷却壁温度635 K,local_article_text,https://doi.org/10.1016/j.ijheatmasstransfer.2023.124325,740a4414f9fa00191d213f1dfcf861e9245e610d26adbd5c9a49c36dde7b3713,local_source_archived,流体和固体冷却壁采用同一温度
P426,IJHMT 2023低雷诺数内热源球床论文,literature/extracted/ijhmt2023_low_re_internal_heat/full_text.txt,第6页对应文本第433--441行：工作压力0.12 MPa,local_article_text,https://doi.org/10.1016/j.ijheatmasstransfer.2023.124325,740a4414f9fa00191d213f1dfcf861e9245e610d26adbd5c9a49c36dde7b3713,local_source_archived,程序中以绝对Pa存储并在物性关系内换算为MPa
P427,IJHMT 2023低雷诺数内热源球床论文,literature/extracted/ijhmt2023_low_re_internal_heat/full_text.txt,第4--6页对应文本第340--352和433--441行：计算域、入口出口延伸段和恒温壁面,local_article_text,https://doi.org/10.1016/j.ijheatmasstransfer.2023.124325,740a4414f9fa00191d213f1dfcf861e9245e610d26adbd5c9a49c36dde7b3713,local_source_archived,当前局部精细域沿用边界类型但不称为完整几何复现
