parameter_id,物理量,采用值或关系式,单位,在本研究中的用途,文献,链接或DOI,原文位置说明
P048,颗粒直径,1,mm,定义源球床的1 mm颗粒,Macroscopic transport characteristics in packed bed with a multi-physics inversion strategy for solid breeding blanket of HCCB TBM,https://www.sciencedirect.com/science/article/abs/pii/S1359431124007828,Li4SiO4 pebble diameter dp=1 mm in pore-scale model.
P049,源球床目标孔隙率,0.397,dimensionless,定义堆积生成目标；实际三角网格孔隙率另行计算,Macroscopic transport characteristics in packed bed with a multi-physics inversion strategy for solid breeding blanket of HCCB TBM,https://www.sciencedirect.com/science/article/abs/pii/S1359431124007828,Pore-scale model porosity epsilon=39.7%.
P050,初始大球床尺寸,25dp x 25dp x 10dp,dimensionless,先生成25dp x 25dp x 10dp大球床,Macroscopic transport characteristics in packed bed with a multi-physics inversion strategy for solid breeding blanket of HCCB TBM,https://doi.org/10.1016/j.applthermaleng.2024.123114,Section 2.1 states that a 25dp x 25dp x 10dp packed bed was initially constructed before extracting the P390 calculation region; verified against the full text at logs/pdf_text/hccb_tbm_macroscopic_transport_2024.clean.txt lines 420-449.
P390,文献截取区域尺寸,12.5dp x 12.5dp x 10dp; inlet channel=10dp; outlet extension=10dp,dimensionless_geometry,从大球床截取12.5dp x 12.5dp x 10dp区域,Macroscopic transport characteristics in packed bed with a multi-physics inversion strategy for solid breeding blanket of HCCB TBM,https://doi.org/10.1016/j.applthermaleng.2024.123114,"Section 2.1 states that a 12.5dp x 12.5dp x 10dp portion is extracted and reconstructed with 10dp inlet and outlet channels. Figure 11 is plotted on X=6.25dp, so the benchmark flow direction is the 10dp dimension."
P404,网格颗粒直径修正,1,percent_diameter_reduction,网格生成前将颗粒直径缩小1%，去除点接触,Macroscopic transport characteristics in packed bed with a multi-physics inversion strategy for solid breeding blanket of HCCB TBM,https://doi.org/10.1016/j.applthermaleng.2024.123114,"Section 2.1 states that every particle diameter is reduced by 1 percent before meshing to remove particle-particle and particle-wall point contacts. This is a numerical meshing operation, not a physical pebble-size or porosity parameter."
P423,靠冷却壁的截取方式,wall-adjacent and laterally centred crop; one retained outer face=constant-temperature wall; remaining transverse faces=symmetry boundaries,dimensionless_geometry_and_boundary,采用一侧靠壁、横向居中的文献截取方式,Macroscopic transport characteristics in packed bed with a multi-physics inversion strategy for solid breeding blanket of HCCB TBM,https://doi.org/10.1016/j.applthermaleng.2024.123114,Source Figure 4 shows the 12.5dp x 12.5dp x 10dp region adjacent to one transverse outer face and surrounded by retained packing on both sides in the other transverse direction. Figure 5 labels the constant-temperature wall and symmetric boundary. The companion CET 2024 Figure 2 shows the same one-wall/remaining-symmetry construction. Local archived source figures are literature/raw/hccb_2024_transport_figures/figure4_geometry_lrg.jpg and figure5_boundary_conditions_lrg.jpg.
P418,60组入口速度、入口温度和颗粒发热率,"Re_p_AVE<1.8;87 percent within +/-30 percent;60 cases from u_in=0.05,0.10,0.15,0.20,0.25 m/s x T_in=300,500,700,900 K x phi=4.85,6.85,8.85 MW/m3",mixed_support_envelope,定义全部计算工况,Pore-scale simulation on flow and heat transfer characteristics in packed beds with internal heat sources at low Reynolds numbers,https://doi.org/10.1016/j.ijheatmasstransfer.2023.124325,Table 2 and Section 3.3.2 define the calculation matrix and reported fit envelope. The nomenclature defines u_in as the entrance cross-section velocity of the inlet channel; Figures 3 and 5 show a 10dp fully fluid inlet extension before the packed region. A local crop whose inlet is intersected by particles must therefore area-correct its pore-opening boundary velocity to preserve u_in times the complete cross-section. The 60 cases are source simulations rather than experiments; raw point values and local fields are not supplied.
P425,冷却壁温度,635,K,固定为635 K,Pore-scale simulation on flow and heat transfer characteristics in packed beds with internal heat sources at low Reynolds numbers,https://doi.org/10.1016/j.ijheatmasstransfer.2023.124325,Section 2.2 states that the constant-temperature cooling wall along the packed bed and outlet channel is set to 635 K.
P426,工作压力,0.12,MPa,出口绝对压力固定为0.12 MPa,Pore-scale simulation on flow and heat transfer characteristics in packed beds with internal heat sources at low Reynolds numbers,https://doi.org/10.1016/j.ijheatmasstransfer.2023.124325,Section 2.2 states that the packed-bed work pressure is 0.12 MPa.
P427,计算域和边界类型,bed=12.5dp x 12.5dp x 10dp;inlet_extension=10dp;outlet_extension=10dp;one_constant_temperature_wall;remaining_transverse_faces=symmetry,mixed_geometry_boundary,采用一面恒温冷却壁，其余横向面为对称边界；当前局部球床尺寸另行说明,Pore-scale simulation on flow and heat transfer characteristics in packed beds with internal heat sources at low Reynolds numbers,https://doi.org/10.1016/j.ijheatmasstransfer.2023.124325,Figures 3 and 5 and Sections 2.1-2.2 define the source calculation domain and boundary layout. The current fine local crop uses the same boundary types but is smaller and is therefore not described as an exact geometry reproduction.
P070,氦气动力黏度,mu=0.4646*T_K^0.66*1e-6,Pa s,随局部温度更新,Macroscopic transport characteristics in packed bed with a multi-physics inversion strategy for solid breeding blanket of HCCB TBM,https://www.sciencedirect.com/science/article/abs/pii/S1359431124007828,Table 2 helium viscosity correlation; T_K in K.
P071,氦气导热系数,lambda_f=0.1448*(T_K/273)^0.68*(1+2.5e-3*p_MPa^1.17*(T_K/273)^-1.85),W/m/K,随局部温度和压力更新,Macroscopic transport characteristics in packed bed with a multi-physics inversion strategy for solid breeding blanket of HCCB TBM,https://www.sciencedirect.com/science/article/abs/pii/S1359431124007828,Table 2 helium thermal-conductivity correlation; T_K in K and p_MPa in MPa as reported in the HCCB packed-bed paper.
