观测量,测量方法,获得方式,主要检验内容,对应模型输出,文献参数编号,文献依据,现有数据,在P418研究中的用法,限制
入口质量流量或表观速度,质量流量控制器并结合流道截面积,直接测量,入口流动边界和速度定义,入口质量流率和表观速度,P059;P061;P062;P395,2024年球床压降实验给出流量范围和质量流量控制器误差,已有实验范围和仪器误差,先检查流量定义再比较压降与出口温度,质量流量不能单独确定内部流量分配
入口与出口气体温度,入口热电偶及分通道出口热电偶,直接测量,气体获得或失去的显热,入口温度;混合出口温度;分通道出口温度,P229;P432,PREMUX给出入口温度和五档功率下十个通道出口温度,已有数字化出口温度及置信区间,比较出口温升和不同出口之间的温差,出口温度不能单独确定颗粒内部热点
轴向压降,床层前后及中间压力接口,直接测量,孔隙流动阻力和流速响应,床层压降;压降梯度,P059;P062;P063;P064;P395,2017和2024年氦气球床压降实验,已有六个定量比较点和实验关系式,无加热流动阶段先比较压降随速度的变化,压降吻合不等于温度场吻合
冷却壁或冷却板温度,壁面热电偶或表面温度传感器,直接测量,冷却边界条件是否与计算一致,冷却壁温度和壁面温度分布,P238;P280;P425,PREMUX和TESOMEX测量壁面附近温度;P418给出635 K恒温壁边界,有PREMUX热电偶点和TESOMEX叙述值,实验中用实测壁温替代计算中的理想恒温边界,当前P418的635 K是文献计算边界而不是本项目实验测量
冷却侧带走的热功率,冷却剂质量流量与进出口温度联合计算,由多个测量量计算,壁面散热和整体能量收支,冷却壁净热功率,P229;P231;P235;P432,PREMUX给出冷却流量;入口温度;出口温度;加热功率和整机热损失,已有五档功率和十个通道出口温度,与OpenFOAM逐面壁面热流积分比较,必须同时计入装置其他散热路径和测量不确定度
颗粒床内部温度,细径热电偶或多点热电偶束,直接测量,内部温度梯度;热点附近响应和冷却后的梯度反转,热电偶位置插值得到的流固温度;局部温度历史,P238;P276;P279;P375;P376;P377;P378,PREMUX提供70个稳态测点;TESOMEX使用12个单点加1个多点K型热电偶束,PREMUX坐标已数字化;TESOMEX只有部分位置和图形历史,比较实测位置而不是把稀疏测温扩成完整三维真值,热电偶会扰动局部装填且不能直接给出颗粒表面与气体各自温度
颗粒最高温度与热点位置,内部多点测温并结合经实验检验的三维计算,测量与计算联合确定,过热风险和热点迁移,颗粒最高温度;热点坐标,P233;P238;P276;P279,PREMUX报告五档最大温度;TESOMEX报告冷却后峰值迁移,已有PREMUX最大温度和稀疏温度点,先检查测点温度再报告计算热点,稀疏测点可能漏掉真实最高温度
输入加热功率,电加热器电压电流或已标定功率系统,直接测量,固体能量方程中的热源总功率,颗粒总体积发热功率,P227;P231;P232;P233;P235,PREMUX采用线加热器矩阵并给出五档总功率和升功率时间,五档稳态功率和部分瞬态程序已摘录,按实测总功率与计算域体积定义等效热源,电加热线源不等同于中子体积沉积
整床有效导热系数,瞬态热线或稳态径向热流法,由温度和功率计算,静止氦气条件下颗粒;接触;气体和辐射的综合导热,由温差与总热流得到的有效导热系数,P001;P002;P013;P018;P019;P020;P021;P026;P027,Li2TiO3和Li4SiO4球床有效导热系数实验及不确定度,已有Li2TiO3二十个点和Li4SiO4经验式,单独建立静止氦气算例比较量级和温度压力趋势,有效导热系数不是颗粒本体导热率也不是局部气固换热系数
气固界面净换热,加热功率与固体侧壁面热功率的稳态收支,由稳态热量收支反推,气体与颗粒之间实际传热方向和热量,OpenFOAM流固界面逐面热流积分,P231;P235;P238;P432,PREMUX提供输入功率;热损失;壁面与出口温度信息用于整体热量收支,当前无直接气固界面热流实验数据,实验反推值与OpenFOAM界面热流比较,不能由单个温度或单个热流传感器直接测得;非稳态时还必须加入颗粒储热项
热阶跃响应时间,已知功率或入口工况阶跃下的连续温度记录,直接测量,流体显热;颗粒储热;接触热阻和壁面换热共同决定的时间响应,出口温度;壁面热功率;内部温度;颗粒最高温度的时间历史,P232;P236;P277;P278;P279;P280,PREMUX给出升降功率程序;TESOMEX给出循环和24小时温度压力响应,PREMUX程序已摘录;TESOMEX原始时间序列未公开,用于DMDc;时间Transformer;图模型和扩散修正的独立时间曲线比较,不能把论文图片插值曲线当作高精度训练数据
颗粒床接触压力,TESOMEX类触觉压力传感器,直接测量,热循环引起的装填接触变化及其对传热的影响,后续热机械扩展中的接触状态,P277;P280;P285,TESOMEX报告压力循环;24小时松弛和2%标定误差,已有叙述值但无完整原始压力曲线,当前换热主模型只作实验解释变量;不作为P418网络输入,当前固定装填P418没有求解颗粒重排和热机械耦合
